paper_group,representative_paper_id,representative_title,status,accepted_record_ids,acquired_record_ids,local_incomplete_record_ids,accepted_record_count
fc4c2b9d38d7,fc4c2b9d38d7,A framework for supporting architecture knowledge and rationale management,downloaded,fc4c2b9d38d7,fc4c2b9d38d7,,1
da5dd15cd345,da5dd15cd345,A functional theory of design patterns,downloaded,da5dd15cd345,da5dd15cd345,,1
296e021afe91,296e021afe91,A generic model for reflective design,downloaded,296e021afe91,296e021afe91,,1
86f2cddcc51d,86f2cddcc51d,A granular view of knowledge development in design science research,downloaded,86f2cddcc51d,86f2cddcc51d,,1
8bb42e8202f8,8bb42e8202f8,A mathematical theory of design: modeling the design process (Part II),downloaded,8bb42e8202f8,8bb42e8202f8,,1
c1b4dc1ba8ba,c1b4dc1ba8ba,A mathematical theory of design: representation of design artifacts (Part I),downloaded,c1b4dc1ba8ba,c1b4dc1ba8ba,,1
b256aafa902e,0157c6b18a7b,A multi-grounded design research process,downloaded,b256aafa902e;0157c6b18a7b,b256aafa902e,,2
67d72b35ce6b,67d72b35ce6b,A nascent design theory for explainable intelligent systems,downloaded,67d72b35ce6b,67d72b35ce6b,,1
12a0faff1d0d,12a0faff1d0d,A new approach of innovative design: An introduction to C-K theory,downloaded,12a0faff1d0d,12a0faff1d0d,,1
c90163fa7f57,c90163fa7f57,A new model to express and capture the design rationale in the documents,downloaded,c90163fa7f57,c90163fa7f57,,1
b8507dbe97ca,b8507dbe97ca,A pattern approach to interaction design,downloaded,b8507dbe97ca;a0d1057f0acb;242644458c6e,242644458c6e;a0d1057f0acb,,3
b97dadb53877,b97dadb53877,A pattern language for parallel application programs,downloaded,b97dadb53877,b97dadb53877,,1
0334252e4adb,0334252e4adb,A post-positivism view of function behaviour structure,downloaded,0334252e4adb,0334252e4adb,,1
19dd6ec0253e,19dd6ec0253e,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,downloaded,19dd6ec0253e,19dd6ec0253e,,1
1445730be68b,1445730be68b,A problem-based approach to the advancement of heuristics for socio-technical evaluation,downloaded,1445730be68b,1445730be68b,,1
0b002633de00,0b002633de00,A security design pattern taxonomy based on attack patterns: Findings of a systematic literature review,downloaded,0b002633de00,0b002633de00,,1
098c9db1090d,597e324d05a7,A semantic representation for domain-specific patterns,downloaded,098c9db1090d;597e324d05a7,098c9db1090d,,2
cc5e9fe45cc6,cc5e9fe45cc6,A study of practice based design research models from knowledge integration perspective,downloaded,cc5e9fe45cc6,cc5e9fe45cc6,,1
7624ada60ef5,7624ada60ef5,A systematic approach for the development of porous concrete based on axiomatic design theory,downloaded,7624ada60ef5,7624ada60ef5,,1
73537bfbe719,77b350f029e7,A taxonomy and ontology for digital platforms,downloaded,73537bfbe719;77b350f029e7,73537bfbe719;77b350f029e7,,2
462782b1c89b,462782b1c89b,A taxonomy of 3D occlusion management techniques,downloaded,462782b1c89b,462782b1c89b,,1
1c7fa3f7d73a,1c7fa3f7d73a,A theoretical framework for the studio as a learning environment,downloaded,1c7fa3f7d73a,1c7fa3f7d73a,,1
7f7baeb83bac,7f7baeb83bac,A theoretical framework on embodiment in digital design,downloaded,7f7baeb83bac,7f7baeb83bac,,1
306d52b89600,306d52b89600,A theory of tailorable technology design,downloaded,306d52b89600,306d52b89600,,1
6194ef223969,6194ef223969,A typology of Urban Design theories and its application to the shared body of knowledge,downloaded,6194ef223969,6194ef223969,,1
5f810f61b926,5f810f61b926,A typology of design knowledge: A theoretical framework,downloaded,5f810f61b926,5f810f61b926,,1
a1ccc16dab98,a1ccc16dab98,ANALYSIS OF DESIGN COMPETENCE OF FUTURE ENGINEER-TEACHERS,downloaded,a1ccc16dab98,a1ccc16dab98,,1
631c79d1cbc5,631c79d1cbc5,Abstraction classes in software design,downloaded,631c79d1cbc5,631c79d1cbc5,,1
a9303960f19a,a9303960f19a,Abstraction in computer science,downloaded,a9303960f19a,a9303960f19a,,1
95eee570b8f1,95eee570b8f1,Accumulating design knowledge: A mechanisms-based approach,downloaded,95eee570b8f1,95eee570b8f1,,1
d0a936b480d4,d0a936b480d4,Acquiring educational access for neurodiverse learners through multisensory design principles,downloaded,d0a936b480d4,d0a936b480d4,,1
fffe50e033fa,fffe50e033fa,Activity as the ultimate particular of interaction design,downloaded,fffe50e033fa,fffe50e033fa,,1
ddf4ea43a777,ddf4ea43a777,Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research,downloaded,ddf4ea43a777,ddf4ea43a777,,1
bee7b59885fa,bee7b59885fa,Adapting the FBS Model of Designing for Usage-Driven Innovation Processes,downloaded,bee7b59885fa;76a2fef94d02,bee7b59885fa,,2
3c8744e515fd,3c8744e515fd,Advancing Design Knowledge Reuse: A Framework for Circular Design Principles,downloaded,3c8744e515fd,3c8744e515fd,,1
4a7432e5a317,4a7432e5a317,Advancing entrepreneurship as a design science: developing additional design principles for effectuation,downloaded,4a7432e5a317,4a7432e5a317,,1
9f9f7295ec8c,9f9f7295ec8c,Affordance based design: a relational theory for design,downloaded,9f9f7295ec8c,9f9f7295ec8c,,1
66a74be75bef,66a74be75bef,An analysis and critique of Research through Design: towards a formalization of a research approach,downloaded,66a74be75bef,66a74be75bef,,1
e80bc9034cc5,97b253588409,An information systems design theory for web-based education,downloaded,e80bc9034cc5;97b253588409,97b253588409,,2
8393d36cff90,8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,downloaded,8393d36cff90,8393d36cff90,,1
87b61e77d082,87b61e77d082,Analysis patterns,downloaded,87b61e77d082;953ab6888562,87b61e77d082,,2
1826e718712a,1826e718712a,Analyzing Design Knowledge Representation in Design Science Research and Deriving Recommendations to Support Design Knowledge Codification,downloaded,1826e718712a,1826e718712a,,1
8107b8d7a099,8107b8d7a099,Analyzing Initial Design Theory Components for Developing Information Security Laboratories,downloaded,8107b8d7a099,8107b8d7a099,,1
7afe82160b59,7afe82160b59,Antipatterns in the creation of intelligent systems,downloaded,7afe82160b59,7afe82160b59,,1
287b2d823523,287b2d823523,Architecture pattern organization,downloaded,287b2d823523,287b2d823523,,1
06c21f51dcc1,42ca56313883,"Architecture, design, implementation",downloaded,06c21f51dcc1;42ca56313883,42ca56313883,,2
2b32e2beaead,2b32e2beaead,Are software patterns simply a handy way to package design heuristics?,downloaded,2b32e2beaead,2b32e2beaead,,1
7ebbe03ea0d8,7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,downloaded,7ebbe03ea0d8,7ebbe03ea0d8,,1
d0a17557440f,d0a17557440f,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms,downloaded,d0a17557440f,d0a17557440f,,1
09e4195a775c,09e4195a775c,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment,downloaded,09e4195a775c,09e4195a775c,,1
3401d577c79c,3401d577c79c,Backfiring and favouring: how design processes in HCI lead to anti-patterns and repentant designers,downloaded,3401d577c79c,3401d577c79c,,1
ac2f5510db32,ac2f5510db32,Beyond geometric complexity: a critical review of complexity theory and how it relates to architecture engineering and construction,downloaded,ac2f5510db32,ac2f5510db32,,1
056ae4e01610,056ae4e01610,Beyond the old game design: a new design paradigm in Game Studies through C-K Theory,downloaded,056ae4e01610,056ae4e01610,,1
a779c321ee06,a779c321ee06,Blockchain Interoperability Patterns,downloaded,a779c321ee06,a779c321ee06,,1
5e43d7253569,5e43d7253569,Bridging HRI Theory and Practice: Design Guidelines for Robot Communication in Dairy Farming,downloaded,5e43d7253569;f89784c10cad,5e43d7253569,,2
84cf9697f69d,84cf9697f69d,Building an information system design theory for vigilant EIS,downloaded,84cf9697f69d,84cf9697f69d,,1
b21a9b4cc5ef,b21a9b4cc5ef,C-K design theory: an advanced formulation,downloaded,b21a9b4cc5ef,b21a9b4cc5ef,,1
f1a4dde3d156,f1a4dde3d156,Catalogue of general-purpose software design patterns,downloaded,f1a4dde3d156,f1a4dde3d156,,1
a883ec94b37a,a883ec94b37a,Causal design knowledge: Alternative representation method for product development knowledge management,downloaded,a883ec94b37a,a883ec94b37a,,1
080c04a1507a,080c04a1507a,Caution - Principle Under Construction' a Visual Inquiry Tool for Developing Design Principles,downloaded,080c04a1507a,080c04a1507a,,1
16b7f7939f93,16b7f7939f93,Characterizing Design Rationales Using Computational Linguistics and Human Evaluations,downloaded,16b7f7939f93,16b7f7939f93,,1
64230bcb1202,64230bcb1202,Chimera heuristics: Generative rational heuristics for the unknown from design theory,downloaded,64230bcb1202,64230bcb1202,,1
b077c606da41,b077c606da41,Classification approach for hybrid components in mechanical engineering with a focus on additive manufacturing,downloaded,b077c606da41,b077c606da41,,1
d6b2bf339ae4,3f5f943bac27,"Co-producing, curating, and defining design knowledge in an online practitioner community",downloaded,d6b2bf339ae4;3f5f943bac27,d6b2bf339ae4,,2
363ca9685308,363ca9685308,Cognitive Architecture and Instructional Design: 20 Years Later,downloaded,363ca9685308,363ca9685308,,1
00781ed0e844,00781ed0e844,Cognitive Point of View in Recursive Design,downloaded,00781ed0e844,00781ed0e844,,1
1e8f1494fc78,1e8f1494fc78,Collaboration Engineering Methodology: Horizontal Extension to Accommodate Project and Program Concerns,downloaded,1e8f1494fc78,1e8f1494fc78,,1
1e7ab64c6cf9,1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,downloaded,1e7ab64c6cf9,1e7ab64c6cf9,,1
6fdd15b8daea,6fdd15b8daea,Communicating nascent design theories on innovative information systems through multi-grounded design principles,downloaded,6fdd15b8daea,6fdd15b8daea,,1
804431d6f285,804431d6f285,Concepts and definitions for product recovery: Analysis and clarification of the terminology used in academia and industry,downloaded,804431d6f285,804431d6f285,,1
4025e28730c1,4025e28730c1,Conceptual foundations of design problem solving,downloaded,4025e28730c1,4025e28730c1,,1
fbf6d34a07e9,fbf6d34a07e9,Conceptualizing Design Knowledge in IS Research - A Review and Taxonomy of Design Knowledge Properties,downloaded,fbf6d34a07e9,fbf6d34a07e9,,1
3f7b5dc9fc40,3f7b5dc9fc40,Concerning the Epistemology of Design: The Role of the Eco-Cognitive Model of Abduction in Pragmatism,downloaded,3f7b5dc9fc40,3f7b5dc9fc40,,1
12029fe2805e,12029fe2805e,Considerações sobre o pattern,downloaded,12029fe2805e,12029fe2805e,,1
f7668dd5c63f,f7668dd5c63f,Construction of Intermediate Knowledge in Design: A Case Study of Cultural and Creative Product Design,downloaded,f7668dd5c63f;8f5f816e7928,f7668dd5c63f,,2
bdf1addf5a10,bdf1addf5a10,Contestable AI by Design: Towards a Framework,downloaded,bdf1addf5a10;c118db7aad84,bdf1addf5a10,,2
6d9eecf54c53,6d9eecf54c53,Control patterns in a health-care network,downloaded,6d9eecf54c53,6d9eecf54c53,,1
4fb2c242dfee,4fb2c242dfee,Coupling of design patterns: common practices and their benefits,downloaded,4fb2c242dfee,4fb2c242dfee,,1
5a05967135ba,5a05967135ba,Cross-cultural adaptation of educational design patterns at scale,downloaded,5a05967135ba,5a05967135ba,,1
1416cd2b88de,1416cd2b88de,Cross-disciplinary system value overview towards value-oriented design,downloaded,1416cd2b88de,1416cd2b88de,,1
39fee30eb03c,39fee30eb03c,Cutting Cubes Out of Fog: The Whole View of Design,downloaded,39fee30eb03c,39fee30eb03c,,1
c1149e306456,c1149e306456,DEFINING HUMAN-CENTERED AI: A COMPREHENSIVE REVIEW OF HCAI LITERATURE,downloaded,c1149e306456,c1149e306456,,1
d1e78ef0032e,d1e78ef0032e,Dark Patterns: Towards a Socio-technical Approach,downloaded,d1e78ef0032e,d1e78ef0032e,,1
f7a213ef52da,f7a213ef52da,Dark patterns in the design of games,downloaded,f7a213ef52da,f7a213ef52da,,1
96dd29c8f345,96dd29c8f345,Data Mesh: A Systematic Gray Literature Review,downloaded,96dd29c8f345,96dd29c8f345,,1
4d5285913fd8,4d5285913fd8,Defining and Identifying Attention Capture Deceptive Designs in Digital Interfaces,downloaded,4d5285913fd8,4d5285913fd8,,1
ce6761927633,ce6761927633,Definition and use of software requirement patterns in requirements engineering,downloaded,ce6761927633,ce6761927633,,1
714b3f6f8ac7,714b3f6f8ac7,Degrees of Interaction: Towards a Classification,downloaded,714b3f6f8ac7,714b3f6f8ac7,,1
00d7fbafe65f,00d7fbafe65f,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines",downloaded,00d7fbafe65f;975e8ffd61cf,00d7fbafe65f,,2
2cceb8eaa8c9,2cceb8eaa8c9,Design Guidelines and Strategies for Interim Innovation,downloaded,2cceb8eaa8c9,2cceb8eaa8c9,,1
48af90d5dfe7,48af90d5dfe7,Design Guidelines for Domain Specific Languages,downloaded,48af90d5dfe7,48af90d5dfe7,,1
9eecf23c4ce7,9eecf23c4ce7,Design Heuristics for Web-Based Severe Weather Risk Communication,downloaded,9eecf23c4ce7,9eecf23c4ce7,,1
9f4dbd790fe7,9f4dbd790fe7,Design Heuristics in Innovative Products,downloaded,9f4dbd790fe7,9f4dbd790fe7,,1
d590c1f63670,d590c1f63670,Design Knowledge Interaction Model: A Proposal from a Cognitive Perspective,downloaded,d590c1f63670,d590c1f63670,,1
44848ca19e31,44848ca19e31,"Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems",downloaded,44848ca19e31,44848ca19e31,,1
4000c6073b5d,4000c6073b5d,Design Patterns and Design Principles for Internal Domain-Specific Languages,downloaded,4000c6073b5d,4000c6073b5d,,1
7d99b05f405e,7d99b05f405e,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,downloaded,7d99b05f405e,7d99b05f405e,,1
ded38f6c2ce8,ded38f6c2ce8,Design Patterns for Situated Visualization in Augmented Reality,downloaded,ded38f6c2ce8,ded38f6c2ce8,,1
07395d6487e7,07395d6487e7,Design Patterns for the Development of Electronic Health Record-Driven Phenotype Extraction Algorithms,downloaded,07395d6487e7,07395d6487e7,,1
9308054f3e8a,9308054f3e8a,Design Patterns in Mixed Methods Research: Embedding Mixed Methods Matched Comparisons Sampling in Previous Design Decisions,downloaded,9308054f3e8a,9308054f3e8a,,1
3524dd73bb30,3524dd73bb30,Design Patterns of Biological Cells,downloaded,3524dd73bb30;ad280668ed73,3524dd73bb30,,2
3dbca777664c,3dbca777664c,Design Principles for Boundary Spanning in Transdisciplinary Design Science Research,downloaded,3dbca777664c,3dbca777664c,,1
1499477f6cda,1499477f6cda,Design Principles for Industrie 4.0 Scenarios,downloaded,1499477f6cda,1499477f6cda,,1
d2fba2826d90,d2fba2826d90,Design Principles for Platform-Enabled Knowledge Commons with an Expository Instantiation,downloaded,d2fba2826d90,d2fba2826d90,,1
03adadfa0ad4,03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",downloaded,03adadfa0ad4,03adadfa0ad4,,1
d30aca57f472,d30aca57f472,Design Rationale as Theory,downloaded,d30aca57f472,d30aca57f472,,1
fda0636dbea5,fda0636dbea5,Design Research: Aesthetic Epistemology and Explanatory Knowledge,downloaded,fda0636dbea5,fda0636dbea5,,1
cf2ee8097a06,cf2ee8097a06,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones",downloaded,cf2ee8097a06,cf2ee8097a06,,1
f941f0424e1a,f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",downloaded,f941f0424e1a,f941f0424e1a,,1
561f08f67362,561f08f67362,"Design Rules, Volume 2: How Technology Shapes Organizations: Chapter 13 Platform Systems vs. Step Processes - The Value of Options and the Power of Modularity",downloaded,561f08f67362,561f08f67362,,1
4988843b7543,4988843b7543,Design Science Research: Guidance for Crafting and Reporting Design Knowledge Contributions,downloaded,4988843b7543,4988843b7543,,1
1d529e097d58,1d529e097d58,Design Space and Design Rules for User Interface Software Architecture,downloaded,1d529e097d58,1d529e097d58,,1
b14f85b19a87,b14f85b19a87,Design Study Methodology: Reflections from the Trenches and the Stacks,downloaded,b14f85b19a87,b14f85b19a87,,1
02f3ae017acb,02f3ae017acb,Design Theory and Method of Complex Products: A Review,downloaded,02f3ae017acb,02f3ae017acb,,1
83d1ebe7d6c0,83d1ebe7d6c0,Design Theory in Information Systems,downloaded,83d1ebe7d6c0;526ec079b88c,83d1ebe7d6c0,,2
6e06768bb26b,6e06768bb26b,Design as Research in Landscape Architecture,downloaded,6e06768bb26b,6e06768bb26b,,1
c3005cf4cf75,c3005cf4cf75,Design as interactions of problem framing and problem solving,downloaded,c3005cf4cf75,c3005cf4cf75,,1
8391308bc194,8391308bc194,"Design creativity for transitions: C-K/Topos, an advanced design theory for creative preservation",downloaded,8391308bc194,8391308bc194,,1
68bf6cd63875,68bf6cd63875,Design epistemology as innovation in public health research,downloaded,68bf6cd63875,68bf6cd63875,,1
92fd41483399,92fd41483399,Design exemplars for synchronous e-learning: A design theory approach,downloaded,92fd41483399,92fd41483399,,1
cd211147691a,cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,downloaded,cd211147691a,cd211147691a,,1
6b9f020cd024,6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,downloaded,6b9f020cd024,6b9f020cd024,,1
94bc88b88ae6,94bc88b88ae6,Design knowledge in the artistic–aesthetic development and transformation of the world,downloaded,94bc88b88ae6;b437b859b693,94bc88b88ae6,,2
b0fe7e080516,b0fe7e080516,Design knowledge representation: An ontological perspective,downloaded,b0fe7e080516,b0fe7e080516,,1
bc6d0afdec8f,bc6d0afdec8f,Design patterns for component-oriented software development,downloaded,bc6d0afdec8f,bc6d0afdec8f,,1
e4c9f86a6933,e4c9f86a6933,Design patterns for exploring and prototyping human-robot interactions,downloaded,e4c9f86a6933,e4c9f86a6933,,1
ddcb3ba05227,ddcb3ba05227,Design patterns for sociality in human-robot interaction,downloaded,ddcb3ba05227,ddcb3ba05227,,1
02c538fcc8a0,02c538fcc8a0,Design patterns for wildlife‐related camera trap image analysis,downloaded,02c538fcc8a0,02c538fcc8a0,,1
1151f6830f77,a51b5b7d0316,Design patterns in intelligent systems,downloaded,1151f6830f77;a51b5b7d0316,1151f6830f77,,2
bf1ef2949b3c,bf1ef2949b3c,Design patterns: Abstraction and reuse of object-oriented design,downloaded,bf1ef2949b3c;fe9522378a83,bf1ef2949b3c,,2
93bb03ac03b6,93bb03ac03b6,Design principles for data analysis,downloaded,93bb03ac03b6,93bb03ac03b6,,1
01467836cecf,01467836cecf,Design principles for human-computer interfaces,downloaded,01467836cecf,01467836cecf,,1
5a8306f435ea,5a8306f435ea,Design principles: The foundation of design,downloaded,5a8306f435ea,5a8306f435ea,,1
9381fc58f61b,9381fc58f61b,Design theory for dynamic complexity in information infrastructures: the case of building internet,downloaded,9381fc58f61b,9381fc58f61b,,1
1728dd2afe4b,1728dd2afe4b,Design theory in practice – Making design science research more transparent,downloaded,1728dd2afe4b,1728dd2afe4b,,1
ceac90427122,ceac90427122,Design-oriented human-computer interaction,downloaded,ceac90427122,ceac90427122,,1
878cf959ac53,878cf959ac53,Designerly Research Methods and Researcherly Design Methods,downloaded,878cf959ac53,878cf959ac53,,1
e105857da02d,e105857da02d,Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge,downloaded,e105857da02d,e105857da02d,,1
3269f651fd9c,3269f651fd9c,"Designing AI-Enabled Engineering Courses: E-AIP Framework for Learning Outcomes, Process Evidence, and Integrity",downloaded,3269f651fd9c,3269f651fd9c,,1
0b35e34543e2,0b35e34543e2,Designing Artificial Identity: The Identity Design Framework and Research Agenda,downloaded,0b35e34543e2,0b35e34543e2,,1
8eb8539b9712,8eb8539b9712,Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,downloaded,8eb8539b9712,8eb8539b9712,,1
85c3a6761bcc,85c3a6761bcc,Designing Process Guidance Systems,downloaded,85c3a6761bcc,85c3a6761bcc,,1
e8a17b6120e4,e8a17b6120e4,Designing as reflective conversation with the materials of a design situation,downloaded,e8a17b6120e4,e8a17b6120e4,,1
560be0c20de7,560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",downloaded,560be0c20de7,560be0c20de7,,1
d41009f91ba1,d41009f91ba1,Designing theory,downloaded,d41009f91ba1,d41009f91ba1,,1
36ba740d002b,36ba740d002b,"Developing Learning Analytics Design Knowledge in the ""Middle Space"": The Student Tuning Model and Align Design Framework for Learning Analytics Use",downloaded,36ba740d002b,36ba740d002b,,1
ef3a9300a2f3,ef3a9300a2f3,Developing a competency taxonomy for teacher design knowledge in technology-enhanced learning environments: a literature review,downloaded,ef3a9300a2f3,ef3a9300a2f3,,1
be51adc4b7cc,be51adc4b7cc,Development and evaluation of emerging design patterns for ubiquitous computing,downloaded,be51adc4b7cc,be51adc4b7cc,,1
6ea89aad84f6,6ea89aad84f6,Development of Sustainable Integrated Design Framework for Stream Restoration,downloaded,6ea89aad84f6,6ea89aad84f6,,1
0cbc36913472,0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,downloaded,0cbc36913472;c6955d14d66c,0cbc36913472;c6955d14d66c,,2
03fd54829f02,03fd54829f02,Digisprudence: the design of legitimate code,downloaded,03fd54829f02,03fd54829f02,,1
af66a447ca7c,af66a447ca7c,Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation,downloaded,af66a447ca7c,af66a447ca7c,,1
40668e23fbab,40668e23fbab,Dimensions of knowledge in prototyping: A review and characterisation of prototyping methods and their contributions to design knowledge,downloaded,40668e23fbab,40668e23fbab,,1
f0b2517a04a4,f0b2517a04a4,Don't Do That! Hunting Down Visual Design Smells in Complex UIs against Design Guidelines,downloaded,f0b2517a04a4,f0b2517a04a4,,1
8e0dfec2492d,8e0dfec2492d,Drama and Software Patterns,downloaded,8e0dfec2492d,8e0dfec2492d,,1
bfff60a9512a,bfff60a9512a,EVALUATING DESIGN RATIONALE,downloaded,bfff60a9512a,bfff60a9512a,,1
c6c22fc10c10,c6c22fc10c10,Ecological interface design: theoretical foundations,downloaded,c6c22fc10c10,c6c22fc10c10,,1
c1db52f69aae,c1db52f69aae,Editorial: A Critical Look at Theories in Design Science Research,downloaded,c1db52f69aae,c1db52f69aae,,1
2a64adab5143,2a64adab5143,Educating Educators about Virtual Reality in Virtual Reality: Effective Learning Principles Operationalized in a VR Solution,downloaded,2a64adab5143,2a64adab5143,,1
50c94f5857d8,50c94f5857d8,Eight Components of a Design Theory of Sonification,downloaded,50c94f5857d8,50c94f5857d8,,1
677c4dc89d1d,677c4dc89d1d,Elemental design patterns: A formal semantics for composition of OO software architecture,downloaded,677c4dc89d1d,677c4dc89d1d,,1
40a2d86cd488,5389fb1cc38b,Elements of a design method – a basis for describing and evaluating design methods,downloaded,40a2d86cd488;5389fb1cc38b,40a2d86cd488;5389fb1cc38b,,2
2085391360fa,2085391360fa,"Elephants, patterns, and heuristics",downloaded,2085391360fa,2085391360fa,,1
