keyword,cluster_id,paper_count,assignment_status,interpretation_status,statistical_descriptor_not_final_label,top_terms,representative_paper_ids,representative_titles,representative_passage_ids,maximum_sibling_top10_jaccard
Design Rules,DRUL-C01,2,numeric_rule_failed_requires_review,provisional_pending_cluster_review,user; eudaimonic; mechanical,user | eudaimonic | mechanical | tissue | stretchable | experience | materials | HCI | technology | electronic | transient | stable | soft | interaction | well-being,dbc171dde63a | 1d033f71eb02,"Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted | Soft, Flexible, and Stretchable Platforms for Tissue-Interfaced Bioelectronics",dbc171dde63a_p0002 | 1d033f71eb02_p0068,0.0
Design Rules,DRUL-C02,9,numeric_rule_failed_requires_review,provisional_pending_cluster_review,technical; modular; organizational,technical | modular | organizational | development | architecture | baldwin | components | structure | space | prototyping | clark | functional | hybrid | considerations | common,f941f0424e1a | 2a22a314dcfb | 8aeb26c1e21d | cf2ee8097a06 | 6f114a6d29d1,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components | Studying Software Architecture Through Design Spaces and Rules | Steps toward a cognitive engineering: Design rules based on analyses of human error | Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones | Toward a Conceptualization of Organizational Modularity",892ad7622adf_p0104 | 6f114a6d29d1_p0036 | cf2ee8097a06_p0050,0.0
Design frameworks,DF-C01,2,numeric_rule_failed_requires_review,provisional_pending_cluster_review,learning; activities; co-design,learning | activities | co-design | learning activities | feedback | online | participants | vulnerability | experiencing | interaction | experiencing vulnerability | online learning | learning designs | terminology | social,1e7ab64c6cf9 | 660ca24145b2,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults | The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,660ca24145b2_p0007 | 1e7ab64c6cf9_p0011,0.05263157894736842
Design frameworks,DF-C02,4,numeric_rule_failed_requires_review,provisional_pending_cluster_review,game; experience; player,game | experience | player | learning | service | dynamics | systemic | elements | AI | view | components | aspects | mechanics | entertainment | literature,e09769771b82 | 7afa6519f6fc | 268903a30da5 | 560be0c20de7,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games | The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games | Systematic Review of Systemic Design Frameworks for Complex Challenges | Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",7afa6519f6fc_p0028 | e09769771b82_p0028 | 268903a30da5_p0004,0.05263157894736842
Design knowledge,DK-C01,23,numeric_rule_failed_requires_review,provisional_pending_cluster_review,HCI; practice; patterns,HCI | practice | patterns | designers | principles | students | social | context | guidelines | heuristics | user | health | form | human | AI,03adadfa0ad4 | 00e42ae113b8 | af4a4237d98a | 9d158233f041 | e8a17b6120e4,"Design Principles: Literature Review, Analysis, and Future Directions | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Utilization of design principles for hybrid learning configurations by interprofessional design teams | Guidelines supporting the formulation of design principles | Designing as reflective conversation with the materials of a design situation",4effa8e553a8_p0019 | 9eda131748eb_p0064 | 6e7959c82d5f_p0031,0.05263157894736842
Design knowledge,DK-C02,37,numeric_rule_failed_requires_review,provisional_pending_cluster_review,data; ontology; development,data | ontology | development | digital | types | prescriptive | theory | game | designers | artifacts | researchers | case | abstract | platform | practice,5a716d80ac6b | 07eb3166d706 | 7b15d81000db | b256aafa902e | 95eee570b8f1,Towards a Method for Design Principle Development in Information Systems | A Typology of Knowledge Creation in Design Science Research Projects | The anatomy of a design theory | A Multi-Grounded Design Research Process | Accumulating design knowledge: A mechanisms-based approach,02381ea80183_p0055 | 77b350f029e7_p0073 | 73537bfbe719_p0007,0.05263157894736842
Design knowledge,DK-C03,8,numeric_rule_failed_requires_review,provisional_pending_cluster_review,product; management; development,product | management | development | causal | industrial | prototyping | product development | dimensions | reuse | engineering | near-field | designer | context | practice | following,6b9f020cd024 | 2a3139d14895 | cc5e9fe45cc6 | f6ba28a6efeb | 76d309f713b9,Design knowledge for decision-making process in a DFX product design approach | What is design knowledge from the viewpoint of CPM/PDD? | A study of practice based design research models from knowledge integration perspective | ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE | How industrial design knowledge differs from engineering design knowledge,114973fd100e_p0010 | a883ec94b37a_p0004 | 6b9f020cd024_p0007,0.05263157894736842
Design methods,DM-C01,17,numeric_rule_failed_requires_review,provisional_pending_cluster_review,value; users; designers,value | users | designers | practice | context | engineering | concepts | need | development | embodied | systemic | interaction | innovative | evaluation | implications,60c69d24c5a3 | 40a2d86cd488 | 5389fb1cc38b | f16832406221 | 878cf959ac53,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework | Elements of a design method - a basis for describing and evaluating design methods | Elements of a design method – a basis for describing and evaluating design methods | A Framework for Systemic Design | Designerly Research Methods and Researcherly Design Methods,dbf31702e533_p0003 | 1416cd2b88de_p0029 | f02904f836be_p0056,0.05263157894736842
Design methods,DM-C02,4,numeric_rule_failed_requires_review,provisional_pending_cluster_review,autobiographical; role-playing; interactive,autobiographical | role-playing | interactive | designers | techniques | building | conventions | game | HCI | improvisation | group | performance | user | autonomous | constraints,1c04ffa25528 | 714b3f6f8ac7 | 5ba50396ff25 | 7ebbe03ea0d8,The implications of improvisational acting and role-playing on design methodologies | Degrees of Interaction: Towards a Classification | What is a Convention in Interactive Narrative Design? | Autobiographical design in HCI research: designing and learning through use-it-yourself,1c04ffa25528_p0054 | 714b3f6f8ac7_p0009 | 7ebbe03ea0d8_p0003,0.05263157894736842
Design methods,DM-C03,6,numeric_rule_failed_requires_review,provisional_pending_cluster_review,business; theory; complexity,business | theory | complexity | design theory | components | variations | base | robust | floorplan | development | community | housing | parts | tools | methodology,ac2f5510db32 | 885a1eee70e3 | 94347a49c12b | 95c2b3d44aff | 799b06403189,"Beyond geometric complexity: a critical review of complexity theory and how it relates to architecture engineering and construction | The Design of Business Models: What, How and Why | Using System Dynamics to Construct Design Theory for Community Information Systems | Multiple forms of applications and impacts of a design theory -ten years of industrial applications of C-K theory | State of the Art on Robust Design Methods for Additive Manufacturing",94347a49c12b_p0033 | 95c2b3d44aff_p0006 | ac2f5510db32_p0013,0.05263157894736842
Design principles,DPRI-C01,10,numeric_rule_failed_requires_review,provisional_pending_cluster_review,data; analysis; user,data | analysis | user | heuristics | mesh | data mesh | literature | data analysis | frame | HCI | example | engineering | obligations | transparency | domain,01467836cecf | 93bb03ac03b6 | 2ba0daf07e8e | 44848ca19e31 | 1445730be68b,"Design principles for human-computer interfaces | Design principles for data analysis | Engineering design principles as patterns of relationships in frame creation | Design Obligations for Software, with Examples from Data Abstraction and Adaptive Systems | A problem-based approach to the advancement of heuristics for socio-technical evaluation",93bb03ac03b6_p0009 | 96dd29c8f345_p0113 | 1445730be68b_p0031,0.0
Design principles,DPRI-C02,5,numeric_rule_failed_requires_review,provisional_pending_cluster_review,learning; identity; games,learning | identity | games | artificial | learners | evaluation | player | technology | help | group | personalisation | agents | education | designers | support,fee96194a322 | 42c66c187222 | d0a936b480d4 | 2280b868ea5f | 0b35e34543e2,Personalising learning: towards a coherent learning design framework | Toward an effective approach to collaboration education: A taxonomy for game design | Acquiring educational access for neurodiverse learners through multisensory design principles | Form and Function: Toward a Better Understanding of Design-Based Games | Designing Artificial Identity: The Identity Design Framework and Research Agenda,0b35e34543e2_p0025 | fee96194a322_p0004 | d0a936b480d4_p0017,0.0
Design rationale,DRAT-C01,12,numeric_rule_failed_requires_review,provisional_pending_cluster_review,designers; capture; communication,designers | capture | communication | representation | language | support | argumentation | claims | decisions | quality | structure | advice | patterns | reasoning | context,4c8bdfbd1309 | 0050f73e4373 | 40034332988c | 7a42dd52852e | 4567075d70b4,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication | Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication | Redesigning the rationale for design rationale | What's in design rationale? | Making Argumentation Serve Design,edde6dc75b19_p0074 | 12568f76ff90_p0034 | 40034332988c_p0025,0.1111111111111111
Design rationale,DRAT-C02,2,numeric_rule_failed_requires_review,provisional_pending_cluster_review,documentation; software; tools,documentation | software | tools | learning | level | decisions | situation | activity | support | user | screen | inheritance | engineering | base | experiences,d5d39efbe945 | 4ac74ce3f335,Method rationale in method engineering | Towards a framework for documentation design: an abstract model of computer-mediated activity,4ac74ce3f335_p0003 | d5d39efbe945_p0019,0.1111111111111111
Design theory,DT-C01,17,frozen_prior_pilot,frozen,product; cognitive; impact,product | cognitive | impact | load | cognitive load | human | technology | science | understanding | designers | function | conceptual | engineering | methodology | theoretical,4025e28730c1 | 02f3ae017acb | ceac90427122 | d250dc6eb9d9 | 141f85abba0a,Conceptual foundations of design problem solving | Design Theory and Method of Complex Products: A Review | Design-oriented human-computer interaction | Systems Thinking and Design Thinking: The Search for Principles in the World We Are Making | How to Define Design in Industrial Control and Automation Software,363ca9685308_p0007 | 232abf4e9e91_p0003 | 0e02199ea150_p0040,0.05263157894736842
Design theory,DT-C02,23,frozen_prior_pilot,frozen,theoretical; practice; sonification,theoretical | practice | sonification | type | value | kernel | science | example | development | artifact | definition | understanding | constructs | space | structure,c2c57ac5453e | fd05a25a5e94 | 83d1ebe7d6c0 | 4db508a9681a | f56243f52335,"Theory construction in design research. Criteria, approaches, and methods. | Four Criteria for Design Theories | Design Theory in Information Systems | Philosophy of design: A meta-theoretical structure for design theory | Theory construction in design research Criteria: Approaches, and methods",50c94f5857d8_p0039 | 5b3b013c191d_p0004 | 1728dd2afe4b_p0035,0.17647058823529413
Design theory,DT-C03,18,frozen_prior_pilot,frozen,management; service; learning,management | service | learning | social | support | theoretical | development | literature | evaluation | practice | analysis | gregor | practitioners | empirical | digital,c0372ed4d123 | c9175ef9ebfe | 43fee329f83e | 67d72b35ce6b | 288676f720a1,Web-based information systems: Developing a design theory | Management design theories | Process design theory for digital information services | A nascent design theory for explainable intelligent systems | A design theory for digital platforms supporting online communities: a multiple case study,0ecb6c9b7eeb_p0042 | 92fd41483399_p0027 | 9049c4d2bbec_p0020,0.17647058823529413
