paper_id,title,keyword,cluster_id,cluster_index,group_k,assignment_method,assignment_status
cd211147691a,Design heuristics set for X: A design aid for assistive product concept generation,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
cdd6de21b74b,Evidence-based design heuristics for idea generation,Design Heuristics,DH-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
0cbc36913472,Dialogue Appropriate to Assistive Technology Product Design: A Taxonomy of Communication Formats in Relation to Modes of Sensory Perception,Design Heuristics,DH-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
994d28d55eb8,From human factors to human actors to human crafters,Design Heuristics,DH-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
c6955d14d66c,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception,Design Heuristics,DH-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
0783409933b4,A Two-Dimensional Framework for AI Agent Design Patterns: Cognitive Function and Execution Topology,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
09055cc69e8c,A Theoretical Model for Game Mechanics: Bridging Design Practice and Education,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
098c9db1090d,A semantic representation for domain-specific patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
1151f6830f77,Design patterns in intelligent systems,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
1fda49b32463,A Pattern-Oriented Approach to a Methodical Evaluation of Modeling Methods,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
287b2d823523,Architecture pattern organization,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
2efb92894924,Particles of a Whole: Design Patterns for Transparent and Auditable AI-Systems,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
3269f651fd9c,"Designing AI-Enabled Engineering Courses: E-AIP Framework for Learning Outcomes, Process Evidence, and Integrity",Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
3524dd73bb30,Design Patterns of Biological Cells,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
368e4036648e,From Directional Stimuli to Prompt Architectures: Documenting the Practice of Meta-Prompting,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
3a87795ac48c,Framework for Designing and Evaluating Game Achievements,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
4000c6073b5d,Design Principles for Internal Domain-Specific Languages: A Pattern Catalog Illustrated by Ruby,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
498a6aa649eb,Service engineering design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
49d75437fd07,A Framework for Design Patterns in TROPOS,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
4a9c96b6c482,Meta patternsma means for capturing the essentials of reusable object-oriented design,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
4e727e38805c,"Visualization Atlases: Explaining and Exploring Complex Topics Through Data, Visualization, and Narration",Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
4fb2c242dfee,Coupling of design patterns: common practices and their benefits,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
677c4dc89d1d,Elemental design patterns: A formal semantics for composition of OO software architecture,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
774e05395765,Understanding and using patterns in software development,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
79abc1449981,Thriving Systems Theory: An Emergent Information Systems Design Theory,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
7d99b05f405e,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
9ddabd46988b,Towards project communication management patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
a3bc8ece9d73,Use of design patterns in analogy-based design,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
a74bec243b7f,Universal Structural-Semantic Model of Design Patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
a9303960f19a,Abstraction in computer science,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
ade4419d3095,Hybrid modeling design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
b42559e0a5d5,ICT Systems Security and Privacy Protection,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
b967c3a334ff,Industrial experience with design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
b9f64070ed9a,“Modeling-by-Patterns” of Web applications,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
bc6d0afdec8f,Design patterns for component-oriented software development,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
c6e7060b0fa0,LabelPatterns.org: A comprehensive pattern library for consumer-decision labels,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
c7ed46400a28,Exploring the design space of composite visualization,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
da5dd15cd345,A functional theory of design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
e763873f823a,Formalising design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
f1a4dde3d156,Catalogue of general-purpose software design patterns,Design Patterns,DPAT-C01,0,2,spectral_knn10,numerically_selected_pending_human_veto
098637c0f9ae,Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
09e4195a775c,BIOPHILIC DESIGN PATTERNS: Emerging Nature-Based Parameters for Health and Well-Being in the Built Environment,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
242644458c6e,A pattern approach to interaction design,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
35874d939f8d,"Patterns, anticipation and participatory futures",Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
5a05967135ba,Cross-cultural adaptation of educational design patterns at scale,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
5f6661254e39,Ethical Encounters in Design Practice: A Framework Grounded in Practitioner Experience,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
6f73a944b8d6,Video collaboratories for research and education: An analysis of collaboration design patterns,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
77ba97562fe7,Teachers’ Collaborative Pattern Language Design,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
8393d36cff90,An overview of human-computer interaction patterns in pervasive systems,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
a0d1057f0acb,Pattern approach to interaction design,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
b8507dbe97ca,A pattern approach to interaction design,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
c7afdd089fdd,Toward patterns for collaborative knowledge creation,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
cd42a6611470,"Principles, patterns, and techniques for designing and implementing practical fluent interfaces in Java",Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
ddcb3ba05227,Design patterns for sociality in human-robot interaction,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
e4c9f86a6933,Design patterns for exploring and prototyping human-robot interactions,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
e9826a1c57b0,In Search of Living Law: How Should We Design for (Digital) Legal Interaction?,Design Patterns,DPAT-C02,1,2,spectral_knn10,numerically_selected_pending_human_veto
6ea89aad84f6,Development of Sustainable Integrated Design Framework for Stream Restoration,Design Procedures,DPROC-C01,0,1,no_subclustering,single_group_below_clustering_threshold
1d033f71eb02,"Soft, Flexible, and Stretchable Platforms for Tissue‐Interfaced Bioelectronics",Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
5c096c480387,User interfaces of information retrieval systems and user friendliness,Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
dbc171dde63a,Perfect Eudaimonic User Experience Design That Aristotle Would Have Wanted,Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
f941f0424e1a,"Design Rules, Volume 2: Chapter 6—The Value Structure of Technologies, Part 1: Mapping Functional Components",Design Rules,DRUL-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
2a22a314dcfb,Studying Software Architecture Through Design Spaces and Rules,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
43856ed76df1,Hybrid Prototyping: Pure Theory or a Practical Solution to Accelerating Prototyping Tasks?,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
6f114a6d29d1,Toward a Conceptualization of Organizational Modularity,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
892ad7622adf,"Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
8aeb26c1e21d,Steps toward a cognitive engineering: Design rules based on analyses of human error,Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
ba03a17bc120,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
cf2ee8097a06,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones",Design Rules,DRUL-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
1e7ab64c6cf9,Commentary: Strength-based co-design that EMPOWERs – Lessons from codesigning with older adults,Design frameworks,DF-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
660ca24145b2,The E-Design Assessment Tool: an evidence-informed approach towards a consistent terminology for quantifying online distance learning activities,Design frameworks,DF-C01,0,2,spectral_knn10,numeric_rule_failed_requires_review
268903a30da5,Systematic Review of Systemic Design Frameworks for Complex Challenges,Design frameworks,DF-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
560be0c20de7,"Designing for Trust, Progress, and Dignity: A Conceptual Framework for Reliability, Responsiveness, and Relational Quality in AI-Enabled Service Systems",Design frameworks,DF-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
7afa6519f6fc,"The experience, dynamics and artifacts framework: towards a holistic model for designing serious and entertainment games",Design frameworks,DF-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
e09769771b82,"The Experience, Dynamics and Artifacts Framework: Towards a Holistic Model for Designing Serious and Entertainment Games",Design frameworks,DF-C02,1,2,spectral_knn10,numeric_rule_failed_requires_review
00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1c7fa3f7d73a,A theoretical framework for the studio as a learning environment,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
38f057747444,Reusable design: A proposed approach to Public Health Informatics system design,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
4effa8e553a8,Toward Engineering Design Principles for HCI,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
6aeae7ccf85b,Toward a Framework for the Design of Interactive Technology for Nature Recreation,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
6e7959c82d5f,The anatomy of HCI design patterns,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
7f7baeb83bac,A theoretical framework on embodiment in digital design,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
82f49b5a1905,SOLUTION REPERTOIRE,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
8f065cfd18a4,Pattern language: A framework for learning,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
9d158233f041,Guidelines supporting the formulation of design principles,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
9eda131748eb,Engineering Design Principles for HCI as a Way Forward for HCI Design Knowledge,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
a707fd62833a,Tracing the tensions surrounding understandings of agency and knowledge in technology design,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
ade78c466271,Revised set of usability heuristics for the evaluation of interactive systems,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
af4a4237d98a,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
b227e604cd40,"The Dark Patterns Knowledge Stack: Exploring New Ways to Negotiate Context, Law, and Design",Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
bdf1addf5a10,Contestable AI by Design: Towards a Framework,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
cda6c6785f0a,The design of social drones: a review of studies on autonomous flyers in inhabited environments,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
d4ef8c48ded5,"Toward an Inventory of Plans and Patterns, and Their Use to Foster Strategic Knowledge in Programming Novices",Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
e8a17b6120e4,Designing as reflective conversation with the materials of a design situation,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
ef3a9300a2f3,Developing a competency taxonomy for teacher design knowledge in technology-enhanced learning environments: a literature review,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
f50a79b2d7e1,Towards scaling expertise with generative AI: design principles for governing AI-Mediated knowledge capture and transfer,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
fffe50e033fa,Activity as the ultimate particular of interaction design,Design knowledge,DK-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
02381ea80183,A design theory for data quality tools in data ecosystems: Findings from three industry cases,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
0b7e6111aa14,Synthesizing a Solution Space for Prescriptive Design Knowledge Codification,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
18d57211cb40,Object oriented design knowledge: ontology and measurement of impact,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
19dd6ec0253e,A principle-based philosophical framework for fashion design praxis and education in new design landscapes,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
2042efa7e455,The DSR grid: six core dimensions for effectively planning and communicating design science research projects,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
29a8891f4c02,The Need for Design Cases: Disseminating Design Knowledge,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
3058799f63c1,Using Schema to Inform Method Design Practices,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
33444d31c6dc,A design theory for visual inquiry tools,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
39fee30eb03c,Cutting Cubes Out of Fog: The Whole View of Design,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
4b599d3e2eb0,Immodest Proposals: Research Through Design and Knowledge,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
5000c5049cbd,Learning design knowledge as generalization,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
53adec5acee6,Mapping design knowledge: 36 years of Design Studies,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
6d926f3c4a97,A domain reference ontology for design science research knowledge bases,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
73537bfbe719,A taxonomy and ontology for digital platforms,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
77b350f029e7,A taxonomy and ontology for digital platforms,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
7b15d81000db,The anatomy of a design theory,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
7c4d2eb91f51,Using a Visual Abstract as a Lens for Communicating and Promoting Design Science Research in Software Engineering,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
95eee570b8f1,Accumulating design knowledge: A mechanisms-based approach,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
a7e06450729f,Game Design as an Autonomous Research Subject,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
b256aafa902e,A Multi-Grounded Design Research Process,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
b73f2343e274,Let's Get Divorced: Constructing Knowledge Outcomes for Critical Design and Constructive Design Research,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
c0efa7750b45,Forms of reasoning in the design science research process,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
c5d4c66275a8,Towards a Theory Driven Foundational Model for Design: Rethinking Requirement Elicitation for Special Needs,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
c90163fa7f57,A new model to express and capture the design rationale in the documents,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
ccc616a68c38,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
ddf4ea43a777,Adaptation of Toulmin’s Model of Argumentation for Establishing Rigour and Relevance in Design Research,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e105857da02d,Designerly Ways of Knowing in HRI: Broadening the Scope of Design-oriented HRI Through the Concept of Intermediate-level Knowledge,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e7091fbecdfa,"Utilizing, Producing, and Contributing Design Knowledge in DSR Projects",Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e8f4a7417bf7,Toward a Method for Design Science Research Meta-Studies to Improve the Reusability of Design Principles,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
e958310acab5,"Prescriptive knowledge in IS research: Conceptualizing design principles in terms of materiality, action, and boundary conditions",Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
fc4c2b9d38d7,A framework for supporting architecture knowledge and rationale management,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
fd2392ff2aff,Surveying a Landscape of Ethics-Focused Design Methods,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
fda0636dbea5,Design Research: Aesthetic Epistemology and Explanatory Knowledge,Design knowledge,DK-C02,1,3,spectral_knn10,numeric_rule_failed_requires_review
114973fd100e,Identification and management of the near-field knowledge of industrial design for innovative product shapes,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
40668e23fbab,Dimensions of knowledge in prototyping: A review and characterisation of prototyping methods and their contributions to design knowledge,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
76d309f713b9,How industrial design knowledge differs from engineering design knowledge,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
94bc88b88ae6,Design knowledge in the artistic–aesthetic development and transformation of the world,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
a883ec94b37a,Causal design knowledge: Alternative representation method for product development knowledge management,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
b0fe7e080516,Design knowledge representation: An ontological perspective,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
cc5e9fe45cc6,A study of practice based design research models from knowledge integration perspective,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
f6ba28a6efeb,ON the HIERARCHICAL LEVELS of DESIGN KNOWLEDGE,Design knowledge,DK-C03,2,3,spectral_knn10,numeric_rule_failed_requires_review
0a373ca87142,Surveying a Landscape of Ethics-Focused Design Methods,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
1c04ffa25528,The implications of improvisational acting and role-playing on design methodologies,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
5389fb1cc38b,Elements of a design method – a basis for describing and evaluating design methods,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
5611cdb5c33a,Generating implications for design through design research,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
6e06768bb26b,Design as Research in Landscape Architecture,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
7e095752d24c,Think-4-EmCoDe framework: Highlighting key qualities in embodied co-design techniques for children,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
7ebbe03ea0d8,Autobiographical design in HCI research: designing and learning through use-it-yourself,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
878cf959ac53,Designerly Research Methods and Researcherly Design Methods,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
b2234ef79a5a,Tracing situated effects of innovative design methods: inexperienced designers' practices,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
b5d968168f35,A Framework of Design Method Corroboration,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
dbf31702e533,Patterns for living lab practice: describing key know-how to promote service co-creation with users,Design methods,DM-C01,0,3,spectral_knn10,numeric_rule_failed_requires_review
