keyword,cluster_id,paper_id,title,review_role,own_centroid_similarity,nearest_other_centroid_similarity,assignment_margin,assignment_status,reviewer_accept_membership_yes_no,reviewer_suggested_cluster_id,reviewer_cluster_coherent_yes_no,reviewer_granularity_too_coarse_ok_too_fine,reviewer_notes
Design knowledge,DK-C01,82f49b5a1905,SOLUTION REPERTOIRE,boundary,0.8858243823051453,0.8834478259086609,0.002376556396484375,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,a707fd62833a,Tracing the tensions surrounding understandings of agency and knowledge in technology design,boundary,0.8876851201057434,0.8762757182121277,0.011409401893615723,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,03adadfa0ad4,"Design Principles: Literature Review, Analysis, and Future Directions",representative,0.9242962598800659,0.9122737050056458,0.012022554874420166,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,00e42ae113b8,Utilization of design principles for hybrid learning configurations by interprofessional design teams,representative,0.9137985110282898,0.8644675016403198,0.04933100938796997,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C01,af4a4237d98a,Utilization of design principles for hybrid learning configurations by interprofessional design teams,representative,0.9137985110282898,0.8644675016403198,0.04933100938796997,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,39fee30eb03c,Cutting Cubes Out of Fog: The Whole View of Design,boundary,0.8840057849884033,0.8806182146072388,0.0033875703811645508,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,3058799f63c1,Using Schema to Inform Method Design Practices,boundary,0.8681855201721191,0.8645803928375244,0.0036051273345947266,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,ccc616a68c38,Towards Creating a Body of Evidence-based Interactive Digital Narrative Design Knowledge: Approaches and Challenges,boundary,0.8466465473175049,0.8411945104598999,0.0054520368576049805,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,5a716d80ac6b,Towards a Method for Design Principle Development in Information Systems,representative,0.9439293146133423,0.9239230751991272,0.020006239414215088,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,07eb3166d706,A Typology of Knowledge Creation in Design Science Research Projects,representative,0.9357010126113892,0.9136794209480286,0.022021591663360596,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C02,7b15d81000db,The anatomy of a design theory,representative,0.9345934987068176,0.9020136594772339,0.03257983922958374,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,b0fe7e080516,Design knowledge representation: An ontological perspective,boundary,0.9287923574447632,0.9101614356040955,0.018630921840667725,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,94bc88b88ae6,Design knowledge in the artistic–aesthetic development and transformation of the world,boundary,0.9165184497833252,0.8963832259178162,0.020135223865509033,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,6b9f020cd024,Design knowledge for decision-making process in a DFX product design approach,representative,0.9316365718841553,0.8779585361480713,0.053678035736083984,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,2a3139d14895,What is design knowledge from the viewpoint of CPM/PDD?,representative,0.9301942586898804,0.8598697781562805,0.07032448053359985,numeric_rule_failed_requires_review,,,,,
Design knowledge,DK-C03,cc5e9fe45cc6,A study of practice based design research models from knowledge integration perspective,representative+boundary,0.9297312498092651,0.9007552862167358,0.028975963592529297,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,b5d968168f35,A Framework of Design Method Corroboration,boundary,0.9039598703384399,0.871241569519043,0.03271830081939697,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,6e06768bb26b,Design as Research in Landscape Architecture,boundary,0.9011377096176147,0.8648994565010071,0.036238253116607666,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,dbf31702e533,Patterns for living lab practice: describing key know-how to promote service co-creation with users,boundary,0.8642193078994751,0.8268516659736633,0.03736764192581177,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,60c69d24c5a3,Evaluating the efficacy and effectiveness of design methods: A systematic review and assessment framework,representative,0.9371954202651978,0.8963519930839539,0.040843427181243896,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,40a2d86cd488,Elements of a design method - a basis for describing and evaluating design methods,representative,0.9399277567863464,0.8945108652114868,0.04541689157485962,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C01,878cf959ac53,Designerly Research Methods and Researcherly Design Methods,representative,0.9346014261245728,0.875434398651123,0.05916702747344971,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,95c2b3d44aff,Multiple forms of applications and impacts of a design theory -ten years of industrial applications of C-K theory,boundary,0.8767364025115967,0.8404750227928162,0.03626137971878052,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,bee7b59885fa,Adapting the FBS Model of Designing for Usage-Driven Innovation Processes,representative,0.9016145467758179,0.8565670847892761,0.04504746198654175,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,f16832406221,A Framework for Systemic Design,representative+boundary,0.9253689050674438,0.904491662979126,0.02087724208831787,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C02,885a1eee70e3,"The Design of Business Models: What, How and Why",representative+boundary,0.9045396447181702,0.860076367855072,0.044463276863098145,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,f02904f836be,Universal Participatory Design: Achievements and Challenges,representative+boundary,0.898682713508606,0.8508555293083191,0.047827184200286865,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,5ba50396ff25,What is a Convention in Interactive Narrative Design?,representative+boundary,0.8746922016143799,0.8088423013687134,0.0658499002456665,numeric_rule_failed_requires_review,,,,,
Design methods,DM-C03,714b3f6f8ac7,Degrees of Interaction: Towards a Classification,representative+boundary,0.9074972867965698,0.823463499546051,0.0840337872505188,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,31bdafb1fc73,Explainable Medical Imaging AI Needs Human-Centered Design: Guidelines and Evidence from a Systematic Review,boundary,0.8625625371932983,0.8027433156967163,0.05981922149658203,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,2ba0daf07e8e,Engineering design principles as patterns of relationships in frame creation,representative,0.8767179250717163,0.7870762944221497,0.08964163064956665,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,01467836cecf,Design principles for human-computer interfaces,representative+boundary,0.923772931098938,0.8605085611343384,0.06326436996459961,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C01,93bb03ac03b6,Design principles for data analysis,representative+boundary,0.8808646202087402,0.8167313933372498,0.06413322687149048,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,0b35e34543e2,Designing Artificial Identity: The Identity Design Framework and Research Agenda,boundary,0.8689493536949158,0.8165837526321411,0.05236560106277466,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,2280b868ea5f,Form and Function: Toward a Better Understanding of Design-Based Games,boundary,0.8780497312545776,0.8172178864479065,0.06083184480667114,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,fee96194a322,Personalising learning: towards a coherent learning design framework,representative,0.9045560359954834,0.8185484409332275,0.08600759506225586,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,d0a936b480d4,Acquiring educational access for neurodiverse learners through multisensory design principles,representative,0.893347978591919,0.7893901467323303,0.10395783185958862,numeric_rule_failed_requires_review,,,,,
Design principles,DPRI-C02,42c66c187222,Toward an effective approach to collaboration education: A taxonomy for game design,representative+boundary,0.8969745635986328,0.818709135055542,0.07826542854309082,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,296e021afe91,A generic model for reflective design,boundary,0.9346296787261963,0.8722876310348511,0.062342047691345215,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,edde6dc75b19,The language of design: Theory and computation,boundary,0.9124655723571777,0.846523642539978,0.06594192981719971,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,ab97fa9e6ec7,"""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""",boundary,0.9373859167098999,0.8662588000297546,0.07112711668014526,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,representative,0.9607721567153931,0.8649678230285645,0.09580433368682861,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,40034332988c,Redesigning the rationale for design rationale,representative,0.952491283416748,0.8562557697296143,0.09623551368713379,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C01,4c8bdfbd1309,Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication,representative,0.9622188210487366,0.8649585247039795,0.09726029634475708,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C02,d5d39efbe945,Method rationale in method engineering,representative+boundary,0.9454143643379211,0.8791795372962952,0.06623482704162598,numeric_rule_failed_requires_review,,,,,
Design rationale,DRAT-C02,4ac74ce3f335,Towards a framework for documentation design: an abstract model of computer-mediated activity,representative+boundary,0.9454143047332764,0.8406461477279663,0.10476815700531006,numeric_rule_failed_requires_review,,,,,
